الاسم,التقييم,عدد التقييمات,العنوان,التصنيف,الحي,خط_العرض,خط_الطول
شركه ورد التوفير فرع الملز,٤٫٢,"2,336",3356 شارع الأمين عبدالله العلي النعيم، الملز، REMA6749، 6749، الرياض 12836، المملكة العربية السعودية,سوبرماركت,الملز,24.692919,46.7554103
تموينات زهرة المربع,٤٫١,96,الامير عبدالله بن جلوي بن تركي، الفوطة، الرياض 12632، المملكة العربية السعودية,سوبرماركت,الملز,24.8343942,46.8340776
اسواق الرشيد,٤٫٣,756,QP2C+MVV، طريق عثمان بن عفان، &، طريق الملك عبدالله المملكة العربية السعودية,سوبرماركت,الملز,24.8374253,46.8834861
اسواق الحربي المركزيه,٤٫٠,"1,292",3026 شارع عسير، 7746، ظهرة لبن، الرياض 13782، المملكة العربية السعودية,سوبرماركت,الملز,24.8374253,46.8834861
متاجر المستهلك,3.7,258,العزيزية،، الرياض المملكة العربية السعودية,سوبرماركت,العزيزية,24.6374978,46.796839999999996
حي العزيزيه طريق النصرالفرعي,4.5,15,"ALNASSER ROAD, العزيزية، الرياض 14515، المملكة العربية السعودية",سوبرماركت,العزيزية,24.6374978,46.796839999999996
اسواق طيبات المستهلك فرع العزيزية,3.9,126,"6858 وادي مارب, الدار البيضاء، شارع ابن حجر 6831 مقابل مسجد السبيعي, الرياض 14517، المملكة العربية السعودية",سوبرماركت,العزيزية,24.6374978,46.796839999999996
أسواق زون مارت,4.2,43,"شارع الشباب، حي, العزيزية، الرياض 14512، المملكة العربية السعودية",سوبرماركت,العزيزية,24.6374978,46.796839999999996
أسواق نادية,4.4,10,HQP6+99P، شارع الشباب بجوار بنده ، العزيزية، العزيزية، الرياض 14515، المملكة العربية السعودية,سوبرماركت,العزيزية,24.6374978,46.796839999999996
أسواق ومخابز ينابيع المستهلك,4.2,50,طريق العزيزية،، الرياض المملكة العربية السعودية,سوبرماركت,العزيزية,24.6374978,46.796839999999996
تموينات سديم,3.7,439,HQM8+8PC، العزيزية، الرياض 14514، المملكة العربية السعودية,سوبرماركت,العزيزية,24.791884099999997,47.2232184
أسواق ميار الجنوب,4.1,20,7102 الشباب، العزيزية، الرياض 14512، المملكة العربية السعودية,سوبرماركت,العزيزية,24.791884099999997,47.2232184
أسواق أرزاق الربيع,3.8,26,محمد رشيد رضا، العزيزية، الرياض 14515، المملكة العربية السعودية,سوبرماركت,العزيزية,24.791884099999997,47.2232184
تموينات شركة اسواق و مخابز طيف الجوهرة,3.8,16,"RMAA6628، 3640 Wadi Jizan، حي العزيزية، 6628, Riyadh 14515, الرياض 14522، المملكة العربية السعودية",سوبرماركت,العزيزية,24.791884099999997,47.2232184
اسواق ربوع نهد المركزية,4.1,16,5193 طريق فتح مكة، العزيزية، 7222، الرياض 14513، المملكة العربية السعودية,سوبرماركت,العزيزية,24.791884099999997,47.2232184
تموينات كنوز العزيزية للمواد الغذائية,3.9,66,"7349 سفيان بن عوف، حي العزيزية،, الرياض 14513، المملكة العربية السعودية",سوبرماركت,العزيزية,24.791884099999997,47.2232184
أسواق علان,3.9,8,HQCC+C8X، العزيزية، الرياض 14514، المملكة العربية السعودية,سوبرماركت,العزيزية,24.791884099999997,47.2232184
مركز النوري للتسوق,4,"5,947",CV85+VW4، مسجد الشيخ ابن باز، ااانوري، مكة 24243، المملكة العربية السعودية,سوبرماركت,العزيزية,24.791884099999997,47.2232184
تموينات شركاء التموين,4.2,10,HQM3+87M، طريق النصر، الفرعي، العزيزية،، الرياض 14512، المملكة العربية السعودية,سوبرماركت,العزيزية,24.791884099999997,47.2232184
الصفو ماركت,3.5,6,9262 طريق العزيزية، العزيزية، الرياض 14514 4955 المملكة العربية السعودية,سوبرماركت,العزيزية,24.6032224,46.7886719
